day,BN,SubNum,condition,MT,ER
2,16,5,S,3667.5,0.0
2,16,6,M,1825.0,0.125
2,16,6,M+S,1447.5,0.25
2,16,6,S,2885.0,0.125
2,16,7,M,1695.0,0.125
2,16,7,M+S,1732.5,0.0
2,16,7,S,2635.0,0.0
2,16,8,M,950.0,0.0
2,16,8,M+S,935.0,0.125
2,16,8,S,1975.0,0.125
2,16,9,M,1695.0,0.125
2,16,9,M+S,1760.0,0.375
2,16,9,S,2165.0,0.125
2,16,10,M,2235.0,0.125
2,16,10,M+S,2280.0,0.125
2,16,10,S,3085.0,0.125
2,16,11,M,1855.0,0.625
2,16,11,M+S,2115.0,0.375
2,16,11,S,3405.0,0.25
2,16,12,M,955.0,0.125
2,16,12,M+S,1420.0,0.125
2,16,12,S,2145.0,0.25
2,16,13,M,767.5,0.25
2,16,13,M+S,805.0,0.125
2,16,13,S,1602.5,0.0
2,16,14,M,1510.0,0.25
2,16,14,M+S,1442.5,0.25
2,16,14,S,2187.5,0.0
2,17,1,M,930.0,0.125
2,17,1,M+S,945.0,0.125
2,17,1,S,1625.0,0.375
2,17,2,M,2457.5,0.0
2,17,2,M+S,2165.0,0.125
2,17,2,S,3005.0,0.0
2,17,3,M,1160.0,0.125
2,17,3,M+S,1070.0,0.0
2,17,3,S,2430.0,0.375
2,17,4,M,1210.0,0.0
2,17,4,M+S,1115.0,0.125
2,17,4,S,1975.0,0.0
2,17,5,M,2857.5,0.0
2,17,5,M+S,2740.0,0.0
2,17,5,S,3455.0,0.125
2,17,6,M,1340.0,0.125
2,17,6,M+S,1665.0,0.125
2,17,6,S,2717.5,0.0
2,17,7,M,1835.0,0.0
2,17,7,M+S,2037.5,0.0
2,17,7,S,2907.5,0.25
2,17,8,M,825.0,0.0
2,17,8,M+S,870.0,0.0
2,17,8,S,1715.0,0.25
2,17,9,M,2275.0,0.125
2,17,9,M+S,1432.5,0.0
2,17,9,S,2085.0,0.0
2,17,10,M,2002.5,0.0
2,17,10,M+S,2115.0,0.0
2,17,10,S,2710.0,0.375
2,17,11,M,1947.5,0.5
2,17,11,M+S,1795.0,0.125
2,17,11,S,2505.0,0.25
2,17,12,M,1132.5,0.5
2,17,12,M+S,975.0,0.0
2,17,12,S,1870.0,0.0
2,17,13,M,785.0,0.125
2,17,13,M+S,757.5,0.0
2,17,13,S,1800.0,0.125
2,17,14,M,1475.0,0.125
2,17,14,M+S,1422.5,0.25
2,17,14,S,2155.0,0.0
2,18,1,M,902.5,0.25
2,18,1,M+S,895.0,0.125
2,18,1,S,1850.0,0.25
2,18,2,M,2322.5,0.25
2,18,2,M+S,2395.0,0.0
2,18,2,S,2540.0,0.0
2,18,3,M,1010.0,0.125
2,18,3,M+S,1020.0,0.125
2,18,3,S,1842.5,0.0
2,18,4,M,1217.5,0.25
2,18,4,M+S,1082.5,0.0
2,18,4,S,2142.5,0.0
2,18,5,M,3085.0,0.125
2,18,5,M+S,2835.0,0.125
2,18,5,S,3440.0,0.125
2,18,6,M,1217.5,0.25
2,18,6,M+S,1325.0,0.0
2,18,6,S,2640.0,0.125
2,18,7,M,1675.0,0.0
2,18,7,M+S,1687.5,0.0
2,18,7,S,2507.5,0.25
2,18,8,M,705.0,0.125
2,18,8,M+S,722.5,0.0
2,18,8,S,1725.0,0.125
2,18,9,M,1767.5,0.25
2,18,9,M+S,1425.0,0.0
2,18,9,S,2225.0,0.125
2,18,10,M,1937.5,0.25
2,18,10,M+S,1790.0,0.125
2,18,10,S,3097.5,0.0
2,18,11,M,1827.5,0.0
2,18,11,M+S,1690.0,0.0
2,18,11,S,2490.0,0.25
2,18,12,M,980.0,0.375
2,18,12,M+S,980.0,0.125
2,18,12,S,2155.0,0.25
2,18,13,M,727.5,0.25
2,18,13,M+S,737.5,0.0
2,18,13,S,1710.0,0.125
2,18,14,M,1482.5,0.0
2,18,14,M+S,1430.0,0.0
2,18,14,S,2175.0,0.375
2,19,1,M,945.0,0.125
2,19,1,M+S,975.0,0.125
2,19,1,S,1805.0,0.125
2,19,2,M,1890.0,0.0
2,19,2,M+S,1842.5,0.0
2,19,2,S,2797.5,0.0
2,19,3,M,1165.0,0.125
2,19,3,M+S,1132.5,0.0
2,19,3,S,1645.0,0.125
2,19,4,M,1050.0,0.0
2,19,4,M+S,1137.5,0.0
2,19,4,S,2005.0,0.0
2,19,5,M,3392.5,0.0
2,19,5,M+S,2670.0,0.125
2,19,5,S,3557.5,0.0
2,19,6,M,1342.5,0.0
2,19,6,M+S,1100.0,0.0
2,19,6,S,2645.0,0.0
2,19,7,M,1925.0,0.0
2,19,7,M+S,1832.5,0.0
2,19,7,S,2692.5,0.25
2,19,8,M,670.0,0.125
2,19,8,M+S,665.0,0.125
2,19,8,S,1722.5,0.25
2,19,9,M,1805.0,0.0
2,19,9,M+S,1335.0,0.125
2,19,9,S,2050.0,0.125
2,19,10,M,2070.0,0.125
2,19,10,M+S,1790.0,0.375
2,19,10,S,2810.0,0.25
2,19,11,M,1670.0,0.5
2,19,11,M+S,1540.0,0.125
2,19,11,S,2850.0,0.0
2,19,12,M,905.0,0.0
2,19,12,M+S,905.0,0.0
2,19,12,S,1767.5,0.0
2,19,13,M,755.0,0.125
2,19,13,M+S,807.5,0.25
2,19,13,S,1595.0,0.125
2,19,14,M,1700.0,0.125
2,19,14,M+S,1692.5,0.25
